"filename", "language", "JSON", "JavaScript", "HTML", "Markdown", "JavaScript JSX", "PostCSS", "JSON with Comments", "XML", "comment", "blank", "total"
"d:\Matteo\Desktop\Progetti\scaletta\src\components\icons\AlertTriangleIcon.jsx", "JavaScript JSX", 0, 0, 0, 0, 5, 0, 0, 0, 0, 3, 8
"d:\Matteo\Desktop\Progetti\scaletta\src\components\icons\ArchiveIcon.jsx", "JavaScript JSX", 0, 0, 0, 0, 5, 0, 0, 0, 0, 3, 8
"d:\Matteo\Desktop\Progetti\scaletta\src\components\icons\ArrowLeftIcon.jsx", "JavaScript JSX", 0, 0, 0, 0, 5, 0, 0, 0, 0, 3, 8
"d:\Matteo\Desktop\Progetti\scaletta\src\components\icons\BellIcon.jsx", "JavaScript JSX", 0, 0, 0, 0, 3, 0, 0, 0, 0, 3, 6
"d:\Matteo\Desktop\Progetti\scaletta\src\components\icons\BellOffIcon.jsx", "JavaScript JSX", 0, 0, 0, 0, 21, 0, 0, 0, 0, 2, 23
"d:\Matteo\Desktop\Progetti\scaletta\src\components\icons\BoldIcon.jsx", "JavaScript JSX", 0, 0, 0, 0, 5, 0, 0, 0, 0, 3, 8
"d:\Matteo\Desktop\Progetti\scaletta\src\components\icons\CameraIcon.jsx", "JavaScript JSX", 0, 0, 0, 0, 17, 0, 0, 0, 0, 2, 19
"d:\Matteo\Desktop\Progetti\scaletta\src\components\icons\CheckCircleIcon.jsx", "JavaScript JSX", 0, 0, 0, 0, 5, 0, 0, 0, 0, 3, 8
"d:\Matteo\Desktop\Progetti\scaletta\src\components\icons\CheckIcon.jsx", "JavaScript JSX", 0, 0, 0, 0, 5, 0, 0, 0, 0, 3, 8
"d:\Matteo\Desktop\Progetti\scaletta\src\components\icons\ChevronDownIcon.jsx", "JavaScript JSX", 0, 0, 0, 0, 5, 0, 0, 0, 0, 3, 8
"d:\Matteo\Desktop\Progetti\scaletta\src\components\icons\ChevronLeftIcon.jsx", "JavaScript JSX", 0, 0, 0, 0, 16, 0, 0, 0, 0, 2, 18
"d:\Matteo\Desktop\Progetti\scaletta\src\components\icons\ChevronRightIcon.jsx", "JavaScript JSX", 0, 0, 0, 0, 16, 0, 0, 0, 0, 2, 18
"d:\Matteo\Desktop\Progetti\scaletta\src\components\icons\ClockIcon.jsx", "JavaScript JSX", 0, 0, 0, 0, 17, 0, 0, 0, 0, 2, 19
"d:\Matteo\Desktop\Progetti\scaletta\src\components\icons\CloseIcon.jsx", "JavaScript JSX", 0, 0, 0, 0, 3, 0, 0, 0, 0, 3, 6
